Atraccion Turistica,Precio,Tiempo
Tour a las Cascadas,3,3 horas
Entrada al Pailon,3,1 hora
Mirador el Ventanal de Kong,3,1 hora
Tour en Bus de 2 Pisos,3,3 horas
Rafting,25,4 horas
Canyoning,25,4 horas
Canopy,25,4 horas
Jumping,20,0.2 horas
Rock Climbing,25,4 horas
Hiking La Virgen,10,1 hora
Trekking Volcan Tungurahua,100,12 horas
Rock Climbing Full Day,30,12 horas
Fabrica de Chocolate,6,1 hora
Bosque Encantado,5,1 hora
Mirador Las Manos de Dios,2,2 horas
Mirador Sacha 360,3,2 horas
Mirador Pasarela Diamante,5,1 hora
Animal Park,6,3 horas
Torre de Cristal,3,1 hora
Caverna Sigsi Huayco,5,1 hora
Termas de la Virgen,4,2 horas
Termas del Salado,4,2 horas
Tour a la Selva,30,18 horas
Mirador La Casa del Arbol,2,1 hora
Mirador Escalera al Cielo,2,1 hora
Hiking La Cruz,10,1 hora
Hiking Los Sauces,10,1 hora
Hiking Casa del Arbol,20,2 horas
Hiking Los Piojos,15,1 hora
