Place_ID,Nombre,Tipo_Principal,Todos_Tipos,Dirección,Rating,Total_Ratings,Abierto_Ahora,Horarios,Teléfono,Sitio_Web,Latitud,Longitud
ChIJkwhUjSGR05ERYITnY8QgM2g,Hostal Nomada,lodging,"lodging, point_of_interest, establishment","Eugenio Espejo &, Baños de Agua Santa",3.8,70,True,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,099 554 4521,,-1.3960071,-78.4237785
ChIJdQZmHyKR05ERTy6vI9ZpJg4,Erupcion Backpackers Hostel,lodging,"lodging, bar, point_of_interest, establishment","Maldonado entre Oriente y Espejo, Baños de Agua Santa",4.3,134,,No disponible,099 622 9449,,-1.3963314,-78.42376809999999
ChIJf9VBGCKR05ERBaJjMCh7jNU,Hostal Dulce Amanecer,lodging,"lodging, point_of_interest, establishment",Banos,4.2,438,True,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,,,-1.3960532,-78.4237552
ChIJGVy4GyKR05ERASAY7Oi3Aj4,Hostal D'Mathias,lodging,"lodging, point_of_interest, establishment","Calle Espejo Entre Maldonado y, Thomas Halflants, Baños de Agua Santa",4.6,341,True,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,098 638 8630,,-1.396005,-78.4235886
ChIJ84QFqRiR05ERy48KCofz_oY,Hostal Don Diego,lodging,"lodging, point_of_interest, establishment","Vía a Baños, Baños de Agua Santa",4.1,187,True,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,099 235 0397,,-1.3950655,-78.4236456
ChIJAf3cqRiR05ERQDx8wINsu9s,Hotel Puerta De Alcalá,lodging,"lodging, point_of_interest, establishment",Banos,3.6,72,,No disponible,,,-1.3951546,-78.42357679999999
ChIJrZu8V-WR05ERH6k1_GWysDo,Hotel,lodging,"lodging, point_of_interest, establishment","JH3G+RGP, E30, Baños de Agua Santa",4.5,2,,No disponible,,,-1.395423,-78.4236593
ChIJ4SbnKDGR05ERkYXeWqbqvW4,Hostal California AC.DC,lodging,"lodging, point_of_interest, establishment","Diagonal al terminal, Amazonas, y, Baños de Agua Santa",4.0,4,,No disponible,099 186 4714,,-1.3950237,-78.42350789999999
ChIJ3W69HSKR05ERQjt_z7Yy1kc,Hostal Grand Imperio,lodging,"lodging, point_of_interest, establishment","JH3G+HCG, Eugenio Espejo, Baños de Agua Santa",4.1,61,True,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,274-2491,,-1.3960665,-78.4239343
ChIJe_5VPQCR05ERB-Gw5rQlqvI,Don Diego Comida De Casa,restaurant,"restaurant, food, point_of_interest, establishment","JH4G+2H3, Banos",5.0,1,True,Monday: 10:00 AM – 10:00 PM; Tuesday: 10:00 AM – 10:00 PM; Wednesday: 10:00 AM – 10:00 PM; Thursday: 10:00 AM – 10:00 PM; Friday: 10:00 AM – 10:00 PM; Saturday: 10:00 AM – 10:00 PM; Sunday: 10:00 AM – 10:00 PM,,,-1.3949937,-78.4235899
